"Vigerslev Allé 108, 2500 Valby"
"Axel Strøbyes Vej 1, 2500 Valby"
"Vigerslevvej 284, 1. 3, 2500 Valby"
"Skyttegårdvej 39, 2. th, 2500 Valby"
"Vigerslevvej 324, 2. th, 2500 Valby"
"Vigerslev Vænge 38, 3. mf, 2500 Valby"
"Cæciliavej 23, st. tv, 2500 Valby"
"Mølle Allé 16, 2. tv, 2500 Valby"
"Vinhaven 3, 2. th, 2500 Valby"
"Vinhaven 57, 2. th, 2500 Valby"
"Hornemanns Vænge 9, 2. 330, 2500 Valby"
"Nakskovvej 42, 3., 2500 Valby"
"Danhaven 5, 2500 Valby"
"Horsekildevej 47, st. tv, 2500 Valby"
"Danshøjvej 41, 2500 Valby"
"Stakhaven 9, 2. tv, 2500 Valby"
"Druehaven 19, 2. 2, 2500 Valby"
"Høffdingsvej 45, st. mf, 2500 Valby"
"Nøddehaven 16, 2500 Valby"
"Ålholmvej 14, st. th, 2500 Valby"
"Aarestrupsvej 2, 4. th, 2500 Valby"
"Sæbyholmsvej 10, 2500 Valby"
"Johan Krohns Vej 1, 3. th, 2500 Valby"
"Overbys Allé 32, 2500 Valby"
"Overskousvej 13, st. th, 2500 Valby"
"Folehaven 21, 1. mf, 2500 Valby"
"Søndre Fasanvej 90, 3. 320, 2500 Valby"
"Folehaven 62, st. tv, 2500 Valby"
"Folehaven 110, 1. tv, 2500 Valby"
"Peder Hjorts Vej 12, 3. th, 2500 Valby"
"Peter Bangs Vej 165, 2. th, 2500 Valby"
"Peter Bangs Vej 246, 3. th, 2500 Valby"
"Kirsebærhaven 20, 2. 309, 2500 Valby"
"Thyregodsvej 19, 3. tv, 2500 Valby"
"Kjeldsgårdsvej 30, st. tv, 2500 Valby"
"Kløverbladsgade 28, 2500 Valby"
"Toftegårds Allé 17, 4. tv, 2500 Valby"
"Toftegårds Plads 2, 1. th, 2500 Valby"
"Ramsingsvej 10, 2. th, 2500 Valby"
"Gadekærvej 22, 4. tv, 2500 Valby"
"Rasmus Rasks Vej 5, st. th, 2500 Valby"
"Gammel Jernbanevej 6, st. th, 2500 Valby"
"Gammel Jernbanevej 41, 2. th, 2500 Valby"
"Kongshaven 59, 2500 Valby"
"Banevolden 34, st. tv, 2500 Valby"
"Gammel Køge Landevej 112, st. th, 2500 Valby"
"Gammel Køge Landevej 138, 1. th, 2500 Valby"
"Beatevej 20, 2. mf, 2500 Valby"
"Retortvej 62, st. 1, 2500 Valby"
"Rosenholms Allé 5, 1. th, 2500 Valby"
"Kærskiftevej 91, 2500 Valby"
"Roskildevej 147, 1. th, 2500 Valby"
"Roskildevej 201, 3., 2500 Valby"
"Sandhusvej 21, st. tv, 2500 Valby"
"Langagervej 44A, 2500 Valby"
"Blankavej 14, 3. th, 2500 Valby"
"Lauravej 1, 2. tv, 2500 Valby"
"Valbygårdsvej 7, 1. th, 2500 Valby"
"Valbygårdsvej 44, 1. tv, 2500 Valby"
"Valbygårdsvej 72, 3. th, 2500 Valby"
"Valbyholm 19, 2. tv, 2500 Valby"
"Valby Langgade 16, 3. 403, 2500 Valby"
"Valby Langgade 49, 2. tv, 2500 Valby"
"Valby Langgade 92, 2. tv, 2500 Valby"
"Valby Langgade 142, st., 2500 Valby"
"Valby Langgade 244, st. tv, 2500 Valby"
"Valgårdsvej 5, 2. th, 2500 Valby"
"Gårdstedet 53, 1. th, 2500 Valby"
"Bramslykkevej 4, st. tv, 2500 Valby"
"Bredahlsvej 2, 2. tv, 2500 Valby"
"Lyshøj Allé 7, 3. th, 2500 Valby"
"Lyshøjgårdsvej 27, 3. th, 2500 Valby"
"Harald Kiddes Vej 1, 3. tv, 2500 Valby"
"Lyshøjgårdsvej 85, st. mf, 2500 Valby"
"Harrestrupvang 6, 1. th, 2500 Valby"
"Vestbanevej 3, st. th, 2500 Valby"
"Havebo 7, st., 2500 Valby"
"Brøndkærvej 10, st. th, 2500 Valby"
"Scharlingsvej 22, 2. tv, 2500 Valby"
"Heldbovej 45, 2. tv, 2500 Valby"
"Bykildevej 12, 1. mf, 2500 Valby"
"Sjælør Boulevard 85, 2. th, 2500 Valby"
"Sjælør Boulevard 125, 2. th, 2500 Valby"
"Vibeholmen 4, 1. th, 2500 Valby"
"Bærhaven 8, 2. th, 2500 Valby"
"Carl Jacobsens Vej 2E, 1. tv, 2500 Valby"
"Carl Jacobsens Vej 10C, st. 115, 2500 Valby"
"Carl Langes Vej 34, 2500 Valby"
"Vigerslev Allé 28, 4. th, 2500 Valby"
"Carl Th. Dreyers Vej 60, 2500 Valby"
"Carl Th. Dreyers Vej 276, 4. 1, 2500 Valby"
"Vigerslev Allé 168, 2. th, 2500 Valby"
"Vigerslevstræde 15, 2500 Valby"
"Vigerslevvej 41, st. tv, 2500 Valby"
"Vigerslevvej 88, 1. th, 2500 Valby"
"Vigerslevvej 180, 2. 203, 2500 Valby"
"Molbechsvej 14, 3. tv, 2500 Valby"
"Vigerslevvej 253E, 2500 Valby"
"Monrads Allé 19, 2500 Valby"
"Vigerslevvej 284, 1. 4, 2500 Valby"
"Skyttegårdvej 39, 2. tv, 2500 Valby"
"Vigerslevvej 324, 2. tv, 2500 Valby"
"Vigerslev Vænge 38, 3. th, 2500 Valby"
"Cæciliavej 23, 1. th, 2500 Valby"
"Mølle Allé 16, 3. th, 2500 Valby"
"Vinhaven 3, 2. tv, 2500 Valby"
"Vinhaven 57, 2. tv, 2500 Valby"
"Hornemanns Vænge 9, 2. 331, 2500 Valby"
"Nakskovvej 43, st. th, 2500 Valby"
"Danhaven 6, 2500 Valby"
"Horsekildevej 21, 1., 2500 Valby"
"Horsekildevej 47, 1. th, 2500 Valby"
"Danshøjvej 42, 2500 Valby"
"Druehaven 19, 2. 3, 2500 Valby"
"Høffdingsvej 45, st. th, 2500 Valby"
"Nøddehaven 17, 2500 Valby"
"Ålholmvej 14, st. tv, 2500 Valby"
"Aarestrupsvej 2, 4. tv, 2500 Valby"
"Sæbyholmsvej 11, 2500 Valby"
"Johan Krohns Vej 1, 3. tv, 2500 Valby"
"Overbys Allé 34, 2500 Valby"
"Overskousvej 13, st. tv, 2500 Valby"
"Folehaven 21, 1. th, 2500 Valby"
"Søndre Fasanvej 90, 3. 321, 2500 Valby"
"Folehaven 62, 1. th, 2500 Valby"
"Folehaven 110, 2. th, 2500 Valby"
"Peder Hjorts Vej 12, 3. tv, 2500 Valby"
"Peter Bangs Vej 165, 2. tv, 2500 Valby"
"Peter Bangs Vej 246, 3. tv, 2500 Valby"
"Kirsebærhaven 20, 2. 310, 2500 Valby"
"Thyregodsvej 19, 4. th, 2500 Valby"
"Kjeldsgårdsvej 30, 1. th, 2500 Valby"
"Kløverbladsgade 29, st., 2500 Valby"
"Toftegårds Allé 18, st., 2500 Valby"
"Toftegårds Plads 2, 1. tv, 2500 Valby"
"Ramsingsvej 10, 2. tv, 2500 Valby"
"Gadekærvej 22, 5. th, 2500 Valby"
"Rasmus Rasks Vej 5, st. tv, 2500 Valby"
"Gammel Jernbanevej 6, st. tv, 2500 Valby"
"Gammel Jernbanevej 41, 2. tv, 2500 Valby"
"Kongshaven 60, 2500 Valby"
"Banevolden 34, 1. th, 2500 Valby"
"Trekronergade 35, kl. 3, 2500 Valby"
"Gammel Køge Landevej 112, st. tv, 2500 Valby"
"Gammel Køge Landevej 138, 1. tv, 2500 Valby"
"Retortvej 62, st. 2, 2500 Valby"
"Rosenholms Allé 5, 1. tv, 2500 Valby"
"Kærskiftevej 93, 2500 Valby"
"Roskildevej 147, 1. tv, 2500 Valby"
"Langagervej 44B, 2500 Valby"
"Lyshøjgårdsvej 27, 3. tv, 2500 Valby"
"Blankavej 14, 3. tv, 2500 Valby"
"Urtehaven 34, 2500 Valby"
"Lauravej 1, 3. th, 2500 Valby"
"Valbygårdsvej 7, 1. tv, 2500 Valby"
"Valbygårdsvej 44, 2. th, 2500 Valby"
"Valbygårdsvej 72, 3. tv, 2500 Valby"
"Valbyholm 20, st. th, 2500 Valby"
"Valby Langgade 16, 3. 404, 2500 Valby"
"Valby Langgade 49, 3. th, 2500 Valby"
"Valby Langgade 92, 3. th, 2500 Valby"
"Valby Langgade 143, st. th, 2500 Valby"
"Valby Langgade 195A, kl., 2500 Valby"
"Valby Langgade 244, 1. th, 2500 Valby"
"Valgårdsvej 5, 2. tv, 2500 Valby"
"Gårdstedet 53, 1. tv, 2500 Valby"
"Bramslykkevej 4, 1. th, 2500 Valby"
"Bramslykkevej 50, 1. tv, 2500 Valby"
"Bredahlsvej 2, 3. th, 2500 Valby"
"Sandhusvej 21, 1. th, 2500 Valby"
"Lyshøj Allé 7, 3. tv, 2500 Valby"
"Harald Kiddes Vej 1, 4. th, 2500 Valby"
"Lyshøjgårdsvej 85, st. th, 2500 Valby"
"Harrestrupvang 6, 1. tv, 2500 Valby"
"Vestbanevej 3, st. tv, 2500 Valby"
"Havebo 7, 1., 2500 Valby"
"Brøndkærvej 10, st. tv, 2500 Valby"
"Scharlingsvej 22, 3. th, 2500 Valby"
"Maribovej 64, 2500 Valby"
"Heldbovej 47, st. th, 2500 Valby"
"Bykildevej 12, 1. th, 2500 Valby"
"Sjælør Boulevard 85, 2. tv, 2500 Valby"
"Sjælør Boulevard 125, 2. tv, 2500 Valby"
"Vibeholmen 4, 1. tv, 2500 Valby"
"Bærhaven 8, 2. tv, 2500 Valby"
"Carl Jacobsens Vej 2E, 2. mf, 2500 Valby"
"Carl Jacobsens Vej 10C, 1. 209, 2500 Valby"
"Vigerslev Allé 28, 4. tv, 2500 Valby"
"Carl Th. Dreyers Vej 62, 2500 Valby"
"Carl Th. Dreyers Vej 276, 4. 2, 2500 Valby"
"Vigerslev Allé 168, 2. tv, 2500 Valby"
"Vigerslevstræde 16, 2500 Valby"
"Vigerslevvej 41, 1. th, 2500 Valby"
"Vigerslevvej 88, 1. tv, 2500 Valby"
"Vigerslevvej 180, 2. 204, 2500 Valby"
"Molbechsvej 14, 4. th, 2500 Valby"
"Vigerslevvej 253F, 2500 Valby"
"Monrads Allé 20, 2500 Valby"
"Vigerslevvej 284, 2. 1, 2500 Valby"
"Skyttegårdvej 41, st. th, 2500 Valby"
"Vigerslev Vænge 38, 3. tv, 2500 Valby"
"Cæciliavej 23, 1. tv, 2500 Valby"
"Mølle Allé 16, 3. tv, 2500 Valby"
"Vinhaven 4, st., 2500 Valby"
"Vinhaven 59, st. th, 2500 Valby"
"Hornemanns Vænge 9, 2. 332, 2500 Valby"
"Nakskovvej 43, st. tv, 2500 Valby"
"Danhaven 7, 2500 Valby"
"Horsekildevej 47, 1. tv, 2500 Valby"
"Danshøjvej 43, 2500 Valby"
"Druehaven 21, st. th, 2500 Valby"
"Høffdingsvej 45, 1. mf, 2500 Valby"
"Nøddehaven 18, 2500 Valby"
"Ålholmvej 14, 1. th, 2500 Valby"
"Aarestrupsvej 3, st., 2500 Valby"
"Sæbyholmsvej 12, 2500 Valby"
"Overbys Allé 36, 2500 Valby"
"Overskousvej 13, 1. th, 2500 Valby"
"Folehaven 21, 1. tv, 2500 Valby"
"Søndre Fasanvej 90, 3. 322, 2500 Valby"
"Folehaven 62, 1. tv, 2500 Valby"
"Folehaven 110, 2. tv, 2500 Valby"
"Peder Hjorts Vej 12, 4. th, 2500 Valby"
"Peter Bangs Vej 165, 3. th, 2500 Valby"
"Peter Bangs Vej 248, st. mf, 2500 Valby"
"Kirsebærhaven 20, 2. 311, 2500 Valby"
"Thyregodsvej 19, 4. tv, 2500 Valby"
"Kløverbladsgade 29, 1., 2500 Valby"
"Toftegårds Allé 18, 1., 2500 Valby"
"Toftegårds Plads 2, 2. th, 2500 Valby"
"Lauravej 1, 3. tv, 2500 Valby"
"Ramsingsvej 10, 3. mf, 2500 Valby"
"Gadekærvej 22, 5. tv, 2500 Valby"
"Rasmus Rasks Vej 5, 1. th, 2500 Valby"
"Gammel Jernbanevej 6, 1. th, 2500 Valby"
"Gammel Jernbanevej 41, 3. th, 2500 Valby"
"Kongshaven 61, 2500 Valby"
"Banevolden 34, 1. tv, 2500 Valby"
"Gammel Køge Landevej 112, 1. mf, 2500 Valby"
"Gammel Køge Landevej 138, 2. th, 2500 Valby"
"Beatevej 20, 2. tv, 2500 Valby"
"Retortvej 62, st. 3, 2500 Valby"
"Rosenholms Allé 6, 2500 Valby"
"Kærskiftevej 95, 2500 Valby"
"Roskildevej 147, 2. th, 2500 Valby"
"Langagervej 45, 2500 Valby"
"Blankavej 14, 4. th, 2500 Valby"
"Urtehaven 36, 2500 Valby"
"Valbygårdsvej 7, 2. th, 2500 Valby"
"Valbygårdsvej 44, 2. tv, 2500 Valby"
"Valbygårdsvej 72, 4. th, 2500 Valby"
"Valbyholm 20, st. tv, 2500 Valby"
"Valby Langgade 16, 3. 405, 2500 Valby"
"Valby Langgade 49, 3. tv, 2500 Valby"
"Valby Langgade 92, 3. tv, 2500 Valby"
"Valby Langgade 143, st. tv, 2500 Valby"
"Valby Langgade 195A, st., 2500 Valby"
"Valby Langgade 244, 2. th, 2500 Valby"
"Valgårdsvej 5, 3. th, 2500 Valby"
"Gårdstedet 53, 2. th, 2500 Valby"
"Bramslykkevej 4, 1. tv, 2500 Valby"
"Bramslykkevej 50, 2. th, 2500 Valby"
"Bredahlsvej 2, 3. tv, 2500 Valby"
"Sandhusvej 21, 1. tv, 2500 Valby"
"Lyshøj Allé 7, 4. th, 2500 Valby"
"Lyshøjgårdsvej 27, 4. th, 2500 Valby"
"Harald Kiddes Vej 1, 4. tv, 2500 Valby"
"Lyshøjgårdsvej 85, st. tv, 2500 Valby"
"Harrestrupvang 6, 2. th, 2500 Valby"
"Vestbanevej 3, 1. th, 2500 Valby"
"Havebo 8, st. 1, 2500 Valby"
"Brøndkærvej 10, 1. th, 2500 Valby"
"Scharlingsvej 22, 3. tv, 2500 Valby"
"Maribovej 66, 2500 Valby"
"Heldbovej 47, st. tv, 2500 Valby"
"Bykildevej 12, 1. tv, 2500 Valby"
"Mellemleddet 11, 2500 Valby"
"Sjælør Boulevard 85, 3. th, 2500 Valby"
"Sjælør Boulevard 125, 3. th, 2500 Valby"
"Vibeholmen 4, 2. th, 2500 Valby"
"Bærhaven 9, st. th, 2500 Valby"
"Carl Jacobsens Vej 2E, 2. th, 2500 Valby"
"Carl Jacobsens Vej 10C, 1. 210, 2500 Valby"
"Vigerslev Allé 30, st. th, 2500 Valby"
"Carl Th. Dreyers Vej 64, 2500 Valby"
"Carl Th. Dreyers Vej 276, 4. 3, 2500 Valby"
"Vigerslev Allé 168, 3. th, 2500 Valby"
"Vigerslevstræde 17, 2500 Valby"
"Vigerslevvej 41, 1. tv, 2500 Valby"
"Vigerslevvej 95, st. th, 2500 Valby"
"Vigerslevvej 180, 2. 205, 2500 Valby"
"Molbechsvej 14, 4. tv, 2500 Valby"
"Vigerslevvej 253G, 2500 Valby"
"Monrads Allé 21, 2500 Valby"
"Vigerslevvej 284, 2. 2, 2500 Valby"
"Skyttegårdvej 41, st. tv, 2500 Valby"
"Vigerslevvej 326, st. th, 2500 Valby"
"Vigerslev Vænge 40, st. th, 2500 Valby"
"Cæciliavej 23, 2. th, 2500 Valby"
"Mølle Allé 16, 4. th, 2500 Valby"
"Vinhaven 5, st. th, 2500 Valby"
"Vinhaven 59, st. tv, 2500 Valby"
"Hornemanns Vænge 9, 2. 333, 2500 Valby"
"Nakskovvej 43, 1. th, 2500 Valby"
"Danhaven 8, 2500 Valby"
"Horsekildevej 47, 2. th, 2500 Valby"
"Danshøjvej 44, 2500 Valby"
"Druehaven 21, st. tv, 2500 Valby"
"Høffdingsvej 45, 1. th, 2500 Valby"
"Overskousvej 13, 1. tv, 2500 Valby"
"Nøddehaven 19, 2500 Valby"
"Ålholmvej 14, 1. tv, 2500 Valby"
"Aarestrupsvej 3, 1. th, 2500 Valby"
"Sæbyholmsvej 13, 2500 Valby"
"Overbys Allé 38, 2500 Valby"
"Folehaven 21, 2. mf, 2500 Valby"
"Søndre Fasanvej 90, 3. 323, 2500 Valby"
"Folehaven 62, 2. th, 2500 Valby"
"Folehaven 111, st. th, 2500 Valby"
"Peder Hjorts Vej 12, 4. tv, 2500 Valby"
"Peter Bangs Vej 165, 3. tv, 2500 Valby"
"Peter Bangs Vej 248, st. th, 2500 Valby"
"Kirsebærhaven 20, 2. 312, 2500 Valby"
"Thyregodsvej 20, st. th, 2500 Valby"
"Kjeldsgårdsvej 30, 2. th, 2500 Valby"
"Toftegårds Allé 18, 2., 2500 Valby"
"Toftegårds Plads 2, 2. tv, 2500 Valby"
"Ramsingsvej 10, 3. th, 2500 Valby"
"Valbygårdsvej 44, 3. th, 2500 Valby"
"Gadekærvej 23, st. th, 2500 Valby"
"Rasmus Rasks Vej 5, 1. tv, 2500 Valby"
"Gammel Jernbanevej 6, 1. tv, 2500 Valby"
"Gammel Jernbanevej 41, 3. tv, 2500 Valby"
"Kongshaven 62, 2500 Valby"
"Banevolden 34, 2. th, 2500 Valby"
"Trekronergade 35, st. th, 2500 Valby"
"Gammel Køge Landevej 112, 1. th, 2500 Valby"
"Gammel Køge Landevej 138, 2. tv, 2500 Valby"
"Beatevej 20, 3. tv, 2500 Valby"
"Retortvej 62, st. 4, 2500 Valby"
"Danhaven 9, 2500 Valby"
"Rosenholms Allé 7, 2500 Valby"
"Kærskiftevej 97, 2500 Valby"
"Roskildevej 147, 2. tv, 2500 Valby"
"Langagervej 46, kl., 2500 Valby"
"Blankavej 14, 4. tv, 2500 Valby"
"Urtehaven 38, 2500 Valby"
"Lauravej 1, 4. th, 2500 Valby"
"Valbygårdsvej 7, 2. tv, 2500 Valby"
"Valbygårdsvej 72, 4. tv, 2500 Valby"
"Valbyholm 20, 1. th, 2500 Valby"
"Valby Langgade 16, 3. 406, 2500 Valby"
"Valby Langgade 49, 4. th, 2500 Valby"
"Valby Langgade 92, 4. th, 2500 Valby"
"Valby Langgade 143, 1. th, 2500 Valby"
"Valby Langgade 195A, 1., 2500 Valby"
"Valby Langgade 244, 2. tv, 2500 Valby"
"Valgårdsvej 5, 3. tv, 2500 Valby"
"Gårdstedet 53, 2. tv, 2500 Valby"
"Bramslykkevej 4, 2. th, 2500 Valby"
"Bramslykkevej 50, 2. tv, 2500 Valby"
"Bredahlsvej 2, 4. th, 2500 Valby"
"Sandhusvej 21, 2. th, 2500 Valby"
"Lyshøj Allé 7, 4. tv, 2500 Valby"
"Lyshøjgårdsvej 27, 4. tv, 2500 Valby"
"Harald Kiddes Vej 2, st. th, 2500 Valby"
"Lyshøjgårdsvej 85, 1. mf, 2500 Valby"
"Vestbanevej 3, 1. tv, 2500 Valby"
"Havebo 8, st. 2, 2500 Valby"
"Brøndkærvej 10, 1. tv, 2500 Valby"
"Scharlingsvej 22, 4. th, 2500 Valby"
"Maribovej 68, 2500 Valby"
"Heldbovej 47, 1. th, 2500 Valby"
"Bykildevej 12, 2. mf, 2500 Valby"
"Mellemtoftevej 2, 2. th, 2500 Valby"
"Sjælør Boulevard 85, 3. tv, 2500 Valby"
"Sjælør Boulevard 125, 3. tv, 2500 Valby"
"Vibeholmen 4, 2. tv, 2500 Valby"
"Bærhaven 9, st. tv, 2500 Valby"
"Carl Jacobsens Vej 2E, 2. tv, 2500 Valby"
"Carl Jacobsens Vej 10C, 1. 211, 2500 Valby"
"Carl Langes Vej 36, 2500 Valby"
"Vigerslev Allé 30, st. tv, 2500 Valby"
"Carl Th. Dreyers Vej 66, 2500 Valby"
"Carl Th. Dreyers Vej 276, 5. 1, 2500 Valby"
"Vigerslev Allé 168, 3. tv, 2500 Valby"
"Vigerslevstræde 18, 2500 Valby"
"Vigerslevvej 41, 2. th, 2500 Valby"
"Vigerslevvej 95, st. tv, 2500 Valby"
"Vigerslevvej 180, 2. 206, 2500 Valby"
"Molbechsvej 15, st. th, 2500 Valby"
"Vigerslevvej 253H, 2500 Valby"
"Vigerslevvej 284, 2. 3, 2500 Valby"
"Skyttegårdvej 41, 1. th, 2500 Valby"
"Vigerslevvej 326, st. tv, 2500 Valby"
"Vigerslev Vænge 40, st. tv, 2500 Valby"
"Cæciliavej 23, 2. tv, 2500 Valby"
"Mølle Allé 16, 4. tv, 2500 Valby"
"Vinhaven 5, st. tv, 2500 Valby"
"Vinhaven 59, 1. th, 2500 Valby"
"Hornemanns Vænge 9, 2. 334, 2500 Valby"
"Nakskovvej 43, 1. tv, 2500 Valby"
"Horsekildevej 21, 2. th, 2500 Valby"
"Horsekildevej 47, 2. tv, 2500 Valby"
"Danshøjvej 45, 2500 Valby"
"Druehaven 21, 1. th, 2500 Valby"
"Høffdingsvej 45, 1. tv, 2500 Valby"
"Nøddehaven 20, 2500 Valby"
"Ålholmvej 14, 2. th, 2500 Valby"
"Aarestrupsvej 3, 1. tv, 2500 Valby"
"Sæbyholmsvej 14, 2500 Valby"
"Johan Krohns Vej 2, st. th, 2500 Valby"
"Overbys Allé 40, 2500 Valby"
"Overskousvej 13, 2. th, 2500 Valby"
"Folehaven 21, 2. th, 2500 Valby"
"Søndre Fasanvej 90, 4. 401, 2500 Valby"
"Folehaven 62, 2. tv, 2500 Valby"
"Folehaven 111, st. tv, 2500 Valby"
"Peder Hjorts Vej 13, kl. th, 2500 Valby"
"Urtehaven 40, 2500 Valby"
"Peter Bangs Vej 167, st. th, 2500 Valby"
"Peter Bangs Vej 248, st. tv, 2500 Valby"
"Kirsebærhaven 20, 2. 313, 2500 Valby"
"Thyregodsvej 20, st. tv, 2500 Valby"
"Kjeldsgårdsvej 30, 2. tv, 2500 Valby"
"Kløverbladsgade 30, st., 2500 Valby"
"Toftegårds Allé 18, 3., 2500 Valby"
"Toftegårds Plads 2, 3. th, 2500 Valby"
"Ramsingsvej 10, 3. tv, 2500 Valby"
"Gadekærvej 23, st. tv, 2500 Valby"
"Rasmus Rasks Vej 5, 2. th, 2500 Valby"
"Gammel Jernbanevej 6, 2. th, 2500 Valby"
"Gammel Jernbanevej 41, 4. th, 2500 Valby"
"Banevolden 34, 2. tv, 2500 Valby"
"Trekronergade 35, st. tv, 2500 Valby"
"Gammel Køge Landevej 112, 1. tv, 2500 Valby"
"Gammel Køge Landevej 140, st. th, 2500 Valby"
"Beatevej 20, 4. mf, 2500 Valby"
"Retortvej 62, 1. 1, 2500 Valby"
"Rosenholms Allé 8, 2500 Valby"
"Kærskiftevej 99, 2500 Valby"
"Roskildevej 148A, st. mf, 2500 Valby"
"Langagervej 46, st. th, 2500 Valby"
"Blankavej 15, st. th, 2500 Valby"
"Lauravej 1, 4. tv, 2500 Valby"
"Valbygårdsvej 7, 3. th, 2500 Valby"
"Valbygårdsvej 44, 3. tv, 2500 Valby"
"Valbygårdsvej 73, st. th, 2500 Valby"
"Valbyholm 20, 1. tv, 2500 Valby"
"Valby Langgade 16, 3. 407, 2500 Valby"
"Valby Langgade 49, 4. tv, 2500 Valby"
"Valby Langgade 92, 4. tv, 2500 Valby"
"Valby Langgade 143, 1. tv, 2500 Valby"
"Valby Langgade 195A, 2., 2500 Valby"
"Valby Langgade 245, st. th, 2500 Valby"
"Valgårdsvej 5, 4. th, 2500 Valby"
"Gårdstedet 53, 3., 2500 Valby"
"Bramslykkevej 4, 2. tv, 2500 Valby"
"Bramslykkevej 51, st. th, 2500 Valby"
"Bredahlsvej 2, 4. tv, 2500 Valby"
"Sandhusvej 21, 2. tv, 2500 Valby"
"Hansstedvej 1, 2500 Valby"
"Lyshøj Allé 8, kl., 2500 Valby"
"Lyshøjgårdsvej 29, st. th, 2500 Valby"
"Harald Kiddes Vej 2, st. tv, 2500 Valby"
"Lyshøjgårdsvej 85, 1. th, 2500 Valby"
"Harrestrupvang 7A, st. th, 2500 Valby"
"Vestbanevej 3, 2. th, 2500 Valby"
"Havebo 8, st. 3, 2500 Valby"
"Brøndkærvej 10, 2. th, 2500 Valby"
"Scharlingsvej 22, 4. tv, 2500 Valby"
"Maribovej 70, 2500 Valby"
"Heldbovej 47, 1. tv, 2500 Valby"
"Bykildevej 12, 2. th, 2500 Valby"
"Mellemtoftevej 2, 2. tv, 2500 Valby"
"Sjælør Boulevard 85, 4. th, 2500 Valby"
"Sjælør Boulevard 125, 4. th, 2500 Valby"
"Vibeholmen 6, kl., 2500 Valby"
"Bærhaven 9, 1. th, 2500 Valby"
"Carl Jacobsens Vej 2E, 3. mf, 2500 Valby"
"Carl Jacobsens Vej 10C, 1. 212, 2500 Valby"
"Carl Langes Vej 37, 2500 Valby"
"Vigerslev Allé 30, 1. th, 2500 Valby"
"Carl Th. Dreyers Vej 68, 2500 Valby"
"Skolegade 2A, st., 2500 Valby"
"Carl Th. Dreyers Vej 276, 5. 2, 2500 Valby"
"Vigerslevstræde 19, 2500 Valby"
"Vigerslevvej 41, 2. tv, 2500 Valby"
"Vigerslevvej 95, 1. th, 2500 Valby"
"Vigerslevvej 180, 2. 209, 2500 Valby"
"Molbechsvej 15, st. tv, 2500 Valby"
"Vigerslevvej 253J, 2500 Valby"
"Vigerslevvej 284, 2. 4, 2500 Valby"
"Skyttegårdvej 41, 1. tv, 2500 Valby"
"Vigerslevvej 326, 1. th, 2500 Valby"
"Vigerslev Vænge 40, 1. th, 2500 Valby"
"Cæciliavej 23, 3. th, 2500 Valby"
"Mølle Allé 17, st. th, 2500 Valby"
"Vinhaven 5, 1. th, 2500 Valby"
"Vinhaven 59, 1. tv, 2500 Valby"
"Nakskovvej 1A, st. th, 2500 Valby"
"Hornemanns Vænge 9, 2. 335, 2500 Valby"
"Nakskovvej 43, 2. th, 2500 Valby"
"Danhaven 10, 2500 Valby"
"Horsekildevej 21, 2. tv, 2500 Valby"
"Horsekildevej 47, 3. th, 2500 Valby"
"Druehaven 21, 1. tv, 2500 Valby"
"Høffdingsvej 45, 2. mf, 2500 Valby"
"Nøddehaven 21, 2500 Valby"
"Ålholmvej 14, 2. tv, 2500 Valby"
"Aarestrupsvej 3, 2. th, 2500 Valby"
"Sæbyholmsvej 15, 2500 Valby"
"Johan Krohns Vej 2, st. tv, 2500 Valby"
"Overbys Allé 42, 2500 Valby"
"Overskousvej 13, 2. tv, 2500 Valby"
"Folehaven 21, 2. tv, 2500 Valby"
"Søndre Fasanvej 90, 4. 402, 2500 Valby"
"Folehaven 63, st. th, 2500 Valby"
"Folehaven 111, 1. th, 2500 Valby"
"Peder Hjorts Vej 13, kl. tv, 2500 Valby"
"Peter Bangs Vej 167, st. tv, 2500 Valby"
"Peter Bangs Vej 248, 1. mf, 2500 Valby"
"Kirsebærhaven 20, 2. 314, 2500 Valby"
"Thyregodsvej 20, 1. th, 2500 Valby"
"Kløverbladsgade 30, 1., 2500 Valby"
"Toftegårds Allé 18, 4., 2500 Valby"
"Toftegårds Plads 2, 3. tv, 2500 Valby"
"Ramsingsvej 12, st. mf, 2500 Valby"
"Gadekærvej 23, 1. th, 2500 Valby"
"Rasmus Rasks Vej 5, 2. tv, 2500 Valby"
"Gammel Jernbanevej 6, 2. tv, 2500 Valby"
"Gammel Jernbanevej 41, 4. tv, 2500 Valby"
"Kongshaven 63B, 2500 Valby"
"Banevolden 34, 3. th, 2500 Valby"
"Trekronergade 35, 1. th, 2500 Valby"
"Gammel Køge Landevej 112, 2. mf, 2500 Valby"
"Gammel Køge Landevej 140, st. tv, 2500 Valby"
"Retortvej 62, 1. 2, 2500 Valby"
"Rosenholms Allé 9, st., 2500 Valby"
"Kærskiftevej 101, 2500 Valby"
"Roskildevej 148A, st. th, 2500 Valby"
"Langagervej 46, st. tv, 2500 Valby"
"Blankavej 15, st. tv, 2500 Valby"
"Urtehaven 42, 2500 Valby"
"Lauravej 3, st. th, 2500 Valby"
"Valbygårdsvej 7, 3. tv, 2500 Valby"
"Valbygårdsvej 45, st. th, 2500 Valby"
"Valbygårdsvej 73, st. tv, 2500 Valby"
"Valbyholm 20, 2. th, 2500 Valby"
